,id,location,created_at,username,,following,followers,retweetcount,favorite,text
56,1.57E+18,,9/25/22 20:04,WatusiCrypto,,1753,1085,2,0,Newsmax: John Fetterman Is a Radical Leftist - When Will Pa. Find Out? Read John Gizzi's Report https://t.co/wOR1CSaFLT
57,1.57E+18,usa,9/25/22 20:02,AmericanWoman8,,4988,1796,15,0,"Okay, here's my current assessment of Senate seats, in order of likeliest to flip:

1. PA
2. GA
3. WI
4. NV
5. AZ
6. OH
7. NC
8. NH
9. FL
10. CO

FYI, I also think PA is the only one where the odds of a flip are outright over 50% right now."
58,1.57E+18,"ephrata, pa",9/25/22 19:58,fratreed,,142,22,9,0,"We're concerned to see failed state senate candidate Mike Millerâ€™s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: ðŸ§µ https://t.co/9ZH4tqWRsE"
59,1.57E+18,"miami, fl",9/25/22 19:56,AnayansGallardo,,2087,1722,13,0,"Donate to the Flippable Five, senate seats the Democrats can flip. Donations are split between NC Cheri Beasley, WI Mandela Barnes, OH Tim Ryan, PA John Fetterman, and FL Val Demings.

https://t.co/ilLxca16hb"
60,1.57E+18,,9/25/22 19:56,RandTaylor2,,180,226,1,0,"There's only ONE choice for a strong, intelligent, committed candidate for the US Senate seat for PA, and that is
@JohnFetterman. #Roevember #VoteBlueForSoManyReasons

 @DoctorOz from NJ is another GOP MAGAt! https://t.co/aBgHzxPqVX"
61,1.57E+18,,9/25/22 19:55,DemocraticDaisy,,14855,14828,13,0,"Donate to the Flippable Five, senate seats the Democrats can flip. Donations are split between NC Cheri Beasley, WI Mandela Barnes, OH Tim Ryan, PA John Fetterman, and FL Val Demings.

https://t.co/ilLxca16hb"
62,1.57E+18,,9/25/22 19:52,PatriziaLauren,,675,131,1,0,"@LivePDDave1 Indeed 
Fetterman vs Oz for Senate in Pa.

Trafalgar has them within 2 and that was last week.

The blowhards are calling 6"
63,1.57E+18,,9/25/22 19:52,WendyMa86709925,,118,14,0,0,"@KellindaMaga @JohnFetterman @adamlevine He's a loser.  Afraid to tell PA-ans what he believes in.

Fetterwoman..... there are tons of us women (yes, we can define one too) who are pro-life.    Your views and policies suck for PA.

#DrOz for Senate.  For SANITY."
64,1.57E+18,wv,9/25/22 19:51,BubblesKitty22,,1798,781,4,0,"The alarm clock is going off loud people. WAKE and get rid of this bum! ðŸ‘Žâ¬‡ï¸ðŸ’¡ John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | Newsmax

https://t.co/gauK0goOq0"
65,1.57E+18,,9/25/22 19:51,Union_Tpke,,312,3291,34,0,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyX"
66,1.57E+18,virginia,9/25/22 19:50,dpas2009,,2688,406,13,0,Good to see @CheriBeasleyNC on national TV. I still think this is Democratsâ€™ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEW
67,1.57E+18,ohio,9/25/22 19:50,Usili_Sage,,945,322,34,0,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyX"
68,1.57E+18,,9/25/22 19:50,onyxgata,,2268,2045,13,0,Good to see @CheriBeasleyNC on national TV. I still think this is Democratsâ€™ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEW
69,1.57E+18,,9/25/22 19:50,BustFreebooter,,1428,239,0,0,"@JohnFetterman I got news for you Mr. Fetterman, Carlson and many others take violent crime very seriously.  The difference between you and them may be ..... they understand what crime truly is.  https://t.co/sR3MSaFFLD"
70,1.57E+18,,9/25/22 19:49,FreeBir06097823,,0,0,9,0,"We're concerned to see failed state senate candidate Mike Millerâ€™s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: ðŸ§µ https://t.co/9ZH4tqWRsE"
71,1.57E+18,tayjas,9/25/22 19:49,btx91,,981,1655,34,0,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyX"
72,1.57E+18,,9/25/22 19:48,jaunggyi,,422,24,0,0,"@JohnFetterman I hope people will not fall for this ðŸ oilman. Heâ€™s just running for Senate for the fun of it, just to have the bragging rights, nothing else. He doesnâ€™t care about PA, heâ€™s another Trump. Donâ€™t be fooled by this TV actor, please use your brain wisely, research, read, question"
73,1.57E+18,"houston, tx",9/25/22 19:45,GTGmoney226,,2979,640,2,0,"@hollywilcox @davidhogg111 Do not be so sure!  Rs only need 6 more seats to flip House (not hard to do, esp. w/gerrymandering).  Predictit puts R majority in House at 75% odds.  Average prediction is pick-up of 15 seats.  I think Ds lose GA, NV, AZ, WI, NC, OH, and FL (but win PA) to lose Senate. We'll see https://t.co/Mp0sTI4J15"
74,1.57E+18,united states,9/25/22 19:44,GoldnemovesGold,,11299,10264,0,0,https://t.co/LRbVS6LIbU
