,id,concatenated,created_at,username,,following,followers,retweetcount,favorite,text,location
24,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPucharlottesville, va",9/25/22 20:45,JMilesColeman,,4961,50438,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu","charlottesville, va"
25,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPuindiana",9/25/22 20:42,NotVisclosky,,971,770,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",indiana
26,1.57E+18,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,9/25/22 20:39,sof858usa,,529,246,11,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,
27,1.57E+18,"@ToddRaptor1 @Politics_Polls @YouGovAmerica @CBSNewsPoll My prediction for the Senate is R+1. I think R's will hold WI, OH, &amp; FL. NV will flip Red. PA is a likely flip for the D's. GA is a tossup",9/25/22 20:32,Susiescelfo,,182,143,0,1,"@ToddRaptor1 @Politics_Polls @YouGovAmerica @CBSNewsPoll My prediction for the Senate is R+1. I think R's will hold WI, OH, &amp; FL. NV will flip Red. PA is a likely flip for the D's. GA is a tossup",
28,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",9/25/22 20:32,cinyc9,,719,7894,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",
29,1.57E+18,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyXhell.",9/25/22 20:26,Shaymunie,,259,179,34,0,"Don't send money to a guy who's going to lose to Marjorie Taylor Greene by 20 points. Send it to someone in a winnable Senate race (WI, NV, PA, AZ, NH, maybe FL/NC), or send it to a candidate for governor or sec of state who's running a winnable race against an election denier. https://t.co/Tjp9F3kEyX",hell.
30,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu bigcity , pa",9/25/22 20:26,Athenas_Son_V,,1682,1191,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"," bigcity , pa"
31,1.57E+18,"Donate to the Flippable Five, senate seats the Democrats can flip. Donations are split between NC Cheri Beasley, WI Mandela Barnes, OH Tim Ryan, PA John Fetterman, and FL Val Demings.

https://t.co/ilLxca16hbnyc",9/25/22 20:26,charlesazorn,,5000,1472,13,0,"Donate to the Flippable Five, senate seats the Democrats can flip. Donations are split between NC Cheri Beasley, WI Mandela Barnes, OH Tim Ryan, PA John Fetterman, and FL Val Demings.

https://t.co/ilLxca16hb",nyc
32,1.57E+18,"Support John Fetterman for PA Senate! Ã¢â‚¬â€ Donate via ActBlue https://t.co/nFPShFTlsRboulder, colorado",9/25/22 20:25,taichinow,,2781,1136,0,0,Support John Fetterman for PA Senate! Ã¢â‚¬â€ Donate via ActBlue https://t.co/nFPShFTlsR,"boulder, colorado"
33,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu781/617/203",9/25/22 20:23,Thorongil16,,2031,11190,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",781/617/203
34,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPubc",9/25/22 20:22,Pallas_ca,,414,814,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",bc
35,1.57E+18,@StephanieT313 @julie_kelly2 PA had a MAGA Senate candidate but Rove and Co took him down,9/25/22 20:22,BlentCaleb,,51,7,0,0,@StephanieT313 @julie_kelly2 PA had a MAGA Senate candidate but Rove and Co took him down,
36,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPulindenhurst, il ",9/25/22 20:22,MichaelFromIL,,5001,2482,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu","lindenhurst, il "
37,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPunj sheyichbi/los angeles",9/25/22 20:22,Polit_eurOpines,,915,1324,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",nj sheyichbi/los angeles
38,1.57E+18,"John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2florida, usa",9/25/22 20:22,JSNai99,,1670,575,11,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,"florida, usa"
